# Wed Mar 14 17:05:55 2012
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

31500 11 0.630576 15 0.0755263 0.164682 
31600 10 0.636152 14 0.0780343 0.169077 
31700 12 0.657509 15 0.0824852 0.177368 
31800 12 0.599221 14 0.0745063 0.15963 
31900 10 0.590816 14 0.0678998 0.150068 
32000 12 0.573428 20 0.0662916 0.144715 
32100 14 0.503106 22 0.0493263 0.113458 
32200 14 0.474825 20 0.0439233 0.102859 
32300 14 0.416965 18 0.0401479 0.0910526 
32400 12 0.363667 16 0.0341563 0.0776316 
32500 12 0.422929 18 0.0369769 0.0883281 
32600 14 0.404065 18 0.0351192 0.0827676 
32700 14 0.417981 19 0.037594 0.0875684 
32800 14 0.362432 17 0.0316744 0.0737171 
32900 12 0.32209 14 0.0263161 0.0628914 
33000 13 0.331584 14 0.0236754 0.0606532 
33100 11 0.257887 11 0.0173574 0.0450026 
33200 10 0.203152 10 0.0112922 0.0321737 
33300 8 0.137241 8 0.0073321 0.0213431 
33400 7 0.116682 7 0.00561816 0.0179594 
33500 5 0.0869424 5 0.00432689 0.0135664 
33600 5 0.0884465 5 0.0046608 0.0139824 
33700 4 0.0603749 4 0.00310078 0.00904393 
33800 5 0.0940389 5 0.00388299 0.0137199 
33900 5 0.0900072 5 0.00234314 0.0117157 
34000 6 0.0853708 6 0.00130174 0.00963291 
34100 6 0.0715846 6 0.00156291 0.0083355 
34200 4 0.0498372 4 0.00128932 0.00593089 
34300 4 0.0464418 4 0.00128766 0.00566572 
34400 4 0.0370365 4 0.00102801 0.00436906 
34500 4 0.0376628 4 0.00155481 0.00492356 
34600 4 0.0397635 4 0.00207308 0.00570096 
34700 4 0.0462429 4 0.00206558 0.00645494 
34800 3 0.0499657 3 0.00234436 0.00729357 
34900 3 0.0682393 3 0.00547588 0.0127771 
35000 4 0.0932505 4 0.00682843 0.0174479 
35100 5 0.10099 5 0.00761858 0.0188432 
35200 4 0.0922356 5 0.0083452 0.0190203 
35300 5 0.0989799 6 0.0107107 0.022757 
35400 4 0.0831938 4 0.0088796 0.0185427 
35500 5 0.0803485 5 0.0065189 0.0148631 
35600 5 0.0558264 5 0.00392157 0.00941176 
35700 4 0.0471981 4 0.0026096 0.00704593 
35800 3 0.0569081 3 0.00314465 0.00890985 
35900 3 0.0703816 3 0.00423392 0.0116433 
36000 4 0.0669664 4 0.00340582 0.0102174 
36100 4 0.0655744 4 0.002079 0.00883576 
36200 3 0.0838638 3 0.000779221 0.0106494 
36300 3 0.0957148 3 0.000514139 0.0123393 
36400 3 0.130186 3 0.000256345 0.0179441 
36500 2 0.185828 2 0 0.0283067 
36600 4 0.265731 4 0.000259875 0.0444387 
36700 2 0.305892 2 0 0.0546649 
36800 5 0.366304 6 0.000263574 0.0656299 
36900 6 0.344969 7 0.000793861 0.0608627 
37000 7 0.369248 8 0.00562133 0.0645247 
37100 7 0.379481 7 0.00702804 0.068929 
37200 5 0.347959 5 0.00921352 0.0648247 
37300 5 0.323573 5 0.0143877 0.0630607 
37400 5 0.308245 5 0.0151988 0.0596975 
37500 6 0.330421 6 0.022183 0.0686275 
37600 7 0.356453 7 0.0280606 0.0787735 
37700 7 0.335886 8 0.0278142 0.0738114 
37800 8 0.330123 9 0.0310544 0.075186 
37900 8 0.304427 10 0.0282547 0.0671979 
38000 8 0.308981 10 0.0279736 0.0673178 
38100 8 0.310634 11 0.0284101 0.0685259 
38200 8 0.318512 9 0.0270707 0.0671583 
38300 9 0.425461 10 0.0272817 0.083771 
38400 10 0.563601 12 0.0287866 0.112602 
38500 11 0.786809 14 0.0407532 0.171626 
38600 12 0.871352 13 0.0539897 0.201941 
38700 16 1.03918 21 0.0659024 0.248911 
38800 17 1.16196 20 0.092706 0.294648 
38900 17 1.27008 28 0.121466 0.344389 
39000 16 1.4469 25 0.172823 0.427935 
39100 16 1.70225 27 0.241936 0.554464 
39200 17 1.92667 28 0.318672 0.693849 
39300 16 2.03898 30 0.361873 0.769729 
